table,row_count,first_ts_utc,last_ts_utc
market_snapshots,13902,2026-04-24T19:41:49.313000+00:00,2026-04-24T23:18:41.691000+00:00
trades,86863,2026-04-24T19:41:49.863000+00:00,2026-04-24T23:18:42.825000+00:00
liquidations,0,,
alerts,281,2026-04-24T19:42:17.546000+00:00,2026-04-24T23:18:39.860000+00:00
