symbol,snapshot_count,first_ts_utc,last_ts_utc,latest_mark,latest_funding_pct,latest_funding_delta_1h_pct,latest_basis_pct,latest_basis_source,latest_premium_pct,latest_oi,latest_oi_notional,latest_day_ntl_vlm,latest_cvd_5m,latest_taker_buy_pct_5m,latest_taker_notional_5m,latest_avg_trade_notional_5m,latest_book_spread_bps,latest_book_imbalance_pct,latest_impact_excess_bps,latest_wall_side,latest_wall_notional,latest_wall_ratio,avg_abs_cvd_5m,p95_abs_cvd_5m,avg_taker_notional_5m,p95_taker_notional_5m,avg_impact_excess_bps,p95_impact_excess_bps,funding_abs_ge_threshold_count,funding_abs_ge_threshold_pct,impact_ge_threshold_count,impact_ge_threshold_pct,book_imbalance_abs_ge_threshold_count,book_imbalance_abs_ge_threshold_pct,taker_high_count,taker_high_pct,taker_low_count,taker_low_pct,basis_capitulation_count,basis_capitulation_pct,cvd_capitulation_scaled_count,cvd_capitulation_scaled_pct
bnb-usdc,2313,2026-04-24T19:41:49.313000+00:00,2026-04-24T23:18:41.691000+00:00,636.46,0.00125,0,0.170765296085,spot,0,45763.686,29126755.5916,3292411.23192,-351.97491,24.8875570862,700.79783,100.113975714,0.471346085863,-5.77848016307,0.974115244118,A,8000.02653,2.51759908231,2364.87953559,8361.17492,3615.37615511,13462.01842,0.746961525534,1.66115926273,0,0,0,0,819,35.4085603113,712,30.7825335063,1192,51.5348032858,0,0,108,4.66926070039
btc-usdc,2316,2026-04-24T19:41:49.313000+00:00,2026-04-24T23:18:39.277000+00:00,77346,0.00103591,-4.377e-05,-0.0742860464966,spot,-0.04652185,27374.4906,2117307349.95,1934455152.43,-56958.08202,42.5168663878,380576.4067,1136.04897522,0.129288332374,-5.43561508883,0,A,632636.5824,4.29800171692,2034230.50198,8545993.45493,3467287.38301,11257765.7875,0.115970544245,0.778329665367,0,0,0,0,1873,80.872193437,1016,43.8687392055,592,25.5613126079,0,0,694,29.9654576857
doge-usdc,2315,2026-04-24T19:41:49.313000+00:00,2026-04-24T23:18:41.691000+00:00,0.0981,0.00125,0,-0.0407581006725,oracle,-0.03566334,324466606,31830174.0486,8906388.90043,-177.610056,24.303002475,345.58523,38.3983588889,0.101934201473,-18.5207025962,0.611608845559,A,7964.907944,2.46128064708,20036.9651513,97129.103344,26348.2892852,113308.866449,0.820773604073,1.7326789269,0,0,2,0.0863930885529,1181,51.0151187905,659,28.4665226782,1170,50.5399568035,0,0,619,26.7386609071
eth-usdc,2319,2026-04-24T19:41:49.313000+00:00,2026-04-24T23:18:41.691000+00:00,2312.8,0.00049829,0.00068673,-0.0971901254833,spot,-0.03889705,418330.8798,967515658.801,634659404.208,-12869.15968,47.7439398365,285213.13146,1994.4974228,0.432366993103,-22.8935046998,5.55111512313e-17,A,864359.64125,1.92693309373,826628.611376,3443140.90629,1252783.78953,4366959.33888,0.236472404192,1.2072608165,0,0,0,0,760,32.7727468737,769,33.1608451919,928,40.0172488141,0,0,629,27.1237602415
icp-usdc,2317,2026-04-24T19:41:49.313000+00:00,2026-04-24T23:18:40.472000+00:00,2.453,0.0006517,0.0020701,-0.122149837134,oracle,-0.07247557,771578,1892680.834,210184.78237,18.93335,58.8273333162,107.24275,21.44855,5.7070645306,7.17918085054,3.13888549183,B,3241.40862,1.90490255555,453.999202538,1189.51151,578.140802279,1488.70098,6.43221195517,9.34445027787,0,0,346,14.9331031506,84,3.6253776435,921,39.7496763056,630,27.1903323263,0,0,0,0
sol-usdc,2322,2026-04-24T19:41:49.313000+00:00,2026-04-24T23:18:38.098000+00:00,86.166,-0.00243093,-0.00082068,-0.10897287271,spot,-0.07654393,3220401.3,277489098.416,184107630.246,-141947.5008,9.71648057138,176185.57516,1006.7747152,0.116065158981,21.7748491788,0,B,75118.53414,4.70898080352,215764.880421,604583.196383,399969.686564,1164198.79424,0.136570614242,0.913053459714,0,0,1,0.0430663221361,1765,76.0120585702,425,18.3031869078,1121,48.2773471146,0,0,1004,43.2385874246
