symbol,metric,sample_count,missing_count,missing_pct,min,p05,p25,median,mean,p75,p95,max,latest,latest_ts_utc
bnb-usdc,mark,2313,0,0,635.38,635.98,636.7,637.28,637.22794639,637.76,638.46,638.59,636.46,2026-04-24T23:18:41.691000+00:00
bnb-usdc,mid,2313,0,0,635.455,635.98,636.735,637.3,637.24423476,637.785,638.48,638.595,636.475,2026-04-24T23:18:41.691000+00:00
bnb-usdc,funding_pct,2313,0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,2026-04-24T23:18:41.691000+00:00
bnb-usdc,funding_delta_1h_pct,1760,553,23.9083441418,0,0,0,0,0,0,0,0,0,2026-04-24T23:18:41.691000+00:00
bnb-usdc,basis_pct,2313,0,0,-0.278281533363,-0.202906498492,-0.0949533473017,-0.00470676833286,0.0763295076533,0.118664979685,0.183197704132,5.60021170322,0.170765296085,2026-04-24T23:18:41.691000+00:00
bnb-usdc,premium_pct,2313,0,0,-0.04144752,-0.019885076,-0.00940955,0,-0.00460285156939,0,0.00361022,0.03436103,0,2026-04-24T23:18:41.691000+00:00
bnb-usdc,oi,2313,0,0,45754.2,45758.4096,45762.708,45766.586,45768.2894267,45772.158,45785.15,45790.596,45763.686,2026-04-24T23:18:41.691000+00:00
bnb-usdc,oi_notional,2313,0,0,29085275.6022,29102145.8894,29140996.2334,29169477.31,29164832.9593,29188838.5764,29215235.4001,29221044.4015,29126755.5916,2026-04-24T23:18:41.691000+00:00
bnb-usdc,day_ntl_vlm,2313,0,0,3289976.87054,3291972.01242,3355843.43581,3400267.13331,3385365.71532,3415416.19129,3431840.69462,3442836.82146,3292411.23192,2026-04-24T23:18:41.691000+00:00
bnb-usdc,prev_day_change_pct,2313,0,0,-0.599177109244,-0.456813879633,-0.214572108758,-0.0408067174135,-0.0478121351083,0.0784190715182,0.454616957684,0.593925263092,-0.217919573567,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_1m,2313,0,0,-11317.96745,-1520.445252,-184.32872,-13.37224,-156.130868003,26.07682,795.93774,9406.30741,-91.64862,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_5m,2313,0,0,-15416.7193,-8202.51176,-1491.60917,-357.48239,-708.546272201,331.28065,6650.654068,8667.22602,-351.97491,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_15m,2313,0,0,-18323.16996,-13453.955022,-6771.56412,-1242.41637,-2001.06891369,3162.13506,7181.92876,11643.99626,871.20172,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_1h,2313,0,0,-38267.41893,-32630.29945,-16760.56732,-1958.59595,-3587.65500406,6135.19382,24193.60086,29427.7689,-18807.12362,2026-04-24T23:18:41.691000+00:00
bnb-usdc,taker_buy_pct_5m,2313,0,0,0,1.47431370012,11.0511138007,28.2832715223,41.2436862086,72.8731366089,98.6937488788,100,24.8875570862,2026-04-24T23:18:41.691000+00:00
bnb-usdc,taker_notional_5m,2313,0,0,88.61901,234.09454,880.26361,1669.98386,3615.37615511,5368.39119,13462.01842,17440.47412,700.79783,2026-04-24T23:18:41.691000+00:00
bnb-usdc,avg_trade_notional_5m,2313,0,0,12.6598585714,24.71696,76.1571946154,132.381341818,217.128001691,328.797786061,629.798532727,1010.06849615,100.113975714,2026-04-24T23:18:41.691000+00:00
bnb-usdc,book_spread_bps,2313,0,0,0.156593772266,0.156955071611,0.627588803815,0.786318065657,0.859467540731,1.0986510135,1.41476735359,5.80241976586,0.471346085863,2026-04-24T23:18:41.691000+00:00
bnb-usdc,book_imbalance_pct,2313,0,0,-69.8723088038,-44.2856507067,-28.3349080262,-13.4483632201,-12.5311036469,2.23450638633,24.1113445367,58.9347200399,-5.77848016307,2026-04-24T23:18:41.691000+00:00
bnb-usdc,bid_depth10,2313,0,0,11098.48056,21293.808052,26108.60453,30293.69958,32583.9129706,36739.75645,52377.93321,86873.12051,29940.21819,2026-04-24T23:18:41.691000+00:00
bnb-usdc,ask_depth10,2313,0,0,16525.49457,25717.967398,33057.95111,38873.39907,42735.9401475,50764.78095,69494.622504,100116.19757,33612.6055,2026-04-24T23:18:41.691000+00:00
