id,ts_ms,ts_utc,symbol,kind,message,mark,funding_pct,oi,cvd_5m,basis_pct,taker_buy_pct_5m
44,1777060938613,2026-04-24T20:02:18.613000+00:00,doge-usdc,FLOW_CLUSTER,"SELL flow cluster @ 0.0983  x100  $51,782",0.09832,0.00125,326768840,-24924.069303,-0.0254207127968,5.62856949704
45,1777061017204,2026-04-24T20:03:37.204000+00:00,icp-usdc,THIN_BOOK,impact excess 9.0bp over spread,2.4738,0.00125,763570.8,-182.03471,-0.0484848484848,23.908020203
46,1777061050563,2026-04-24T20:04:10.563000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,319.5000  x1272  $5,702,465",2319.5,-0.00020923,422728.8364,-71114.66952,-0.0796950050617,35.1708025887
47,1777061169793,2026-04-24T20:06:09.793000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,558.0000  x4799  $11,043,611",77558,0.00086567,27500.44354,24960.13815,-0.0843816627697,50.7011236257
48,1777061206476,2026-04-24T20:06:46.476000+00:00,bnb-usdc,FLOW_CLUSTER,"BUY flow cluster @ 638.1875  x57  $18,213",637.55,0.00125,45771.154,-304.22527,-0.026657467227,44.209208656
49,1777061210250,2026-04-24T20:06:50.250000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2186  x725  $2,103,668",86.478,-0.00171244,3225530.84,395005.84727,-0.0976173285199,87.3157498954
50,1777061229667,2026-04-24T20:07:09.667000+00:00,doge-usdc,THIN_BOOK,impact excess 8.8bp over spread,0.098359,0.00125,326761352,344.959864,-0.0264267927021,66.0719263566
51,1777061238854,2026-04-24T20:07:18.854000+00:00,doge-usdc,FLOW_CLUSTER,"SELL flow cluster @ 0.0983  x118  $45,018",0.098268,0.00125,326761352,325.405726,-0.0223827449385,64.8895845907
52,1777061321915,2026-04-24T20:08:41.915000+00:00,icp-usdc,THIN_BOOK,impact excess 8.8bp over spread,2.4768,0.00125,763650.8,147.41248,-0.068589872907,89.8280008317
53,1777061350893,2026-04-24T20:09:10.893000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,320.1178  x1524  $5,863,403",2317.8,-0.00029965,422664.6996,-51509.57236,-0.0797534110749,43.2777775653
