id,ts_ms,ts_utc,symbol,mark,mid,funding_pct,funding_delta_1h_pct,oracle,hl_spot,basis_pct,basis_source,premium_pct,oi,oi_notional,day_ntl_vlm,prev_day_change_pct,cvd_1m,cvd_5m,cvd_15m,cvd_1h,taker_buy_pct_5m,taker_notional_5m,avg_trade_notional_5m,book_spread_bps,book_imbalance_pct,bid_depth10,ask_depth10,impact_excess_bps,wall_side,wall_px,wall_notional,wall_ratio,wall_dist_bps,liq_notional_5m,last_context_ts_ms,last_trade_ts_ms,last_book_ts_ms,last_event_ts_ms
14676,1777072721691,2026-04-24T23:18:41.691000+00:00,bnb-usdc,636.46,636.475,0.00125,0,636.46,635.375,0.170765296085,spot,0,45763.686,29126755.5916,3292411.23192,-0.217919573567,-91.64862,-351.97491,871.20172,-18807.12362,24.8875570862,700.79783,100.113975714,0.471346085863,-5.77848016307,29940.21819,33612.6055,0.974115244118,A,636.59,8000.02653,2.51759908231,1.80682666248,0,1777072721394,1777072704698,1777072720590,1777072721394
14672,1777072719277,2026-04-24T23:18:39.277000+00:00,btc-usdc,77346,77346.5,0.00103591,-4.377e-05,77383,77403.5,-0.0742860464966,spot,-0.04652185,27374.4906,2117307349.95,1934455152.43,-0.919758147161,14437.28649,-56958.08202,208749.95426,-2218183.16727,42.5168663878,380576.4067,1136.04897522,0.129288332374,-5.43561508883,1391923.34548,1551940.45015,0,A,77347,632636.5824,4.29800171692,0.0646441661872,0,1777072718315,1777072717028,1777072718427,1777072718427
14675,1777072721691,2026-04-24T23:18:41.691000+00:00,doge-usdc,0.0981,0.098102,0.00125,0,0.09814,0,-0.0407581006725,oracle,-0.03566334,324466606,31830174.0486,8906388.90043,0.98930398707,-3.92402,-177.610056,43884.686962,-32791.332561,24.303002475,345.58523,38.3983588889,0.101934201473,-18.5207025962,26367.375209,38354.280596,0.611608845559,A,0.098119,7964.907944,2.46128064708,1.6819143243,0,1777072721394,1777072675944,1777072720590,1777072721394
14674,1777072721691,2026-04-24T23:18:41.691000+00:00,eth-usdc,2312.8,2312.85,0.00049829,0.00068673,2313.8,2315.05,-0.0971901254833,spot,-0.03889705,418330.8798,967515658.801,634659404.208,-0.571772494734,53052.2633,-12869.15968,-149780.09885,5395974.1615,47.7439398365,285213.13146,1994.4974228,0.432366993103,-22.8935046998,3458747.10609,5512603.7318,5.55111512313e-17,A,2312.9,864359.64125,1.92693309373,0.216183496551,0,1777072721394,1777072719107,1777072720590,1777072721394
14673,1777072720472,2026-04-24T23:18:40.472000+00:00,icp-usdc,2.453,2.4531,0.0006517,0.0020701,2.456,0,-0.122149837134,oracle,-0.07247557,771578,1892680.834,210184.78237,-0.844819919964,-15.9406,18.93335,10848.29859,12853.07636,58.8273333162,107.24275,21.44855,5.7070645306,7.17918085054,18237.75813,15794.51938,3.13888549183,B,2.4506,3241.40862,1.90490255555,-10.1911866618,0,1777072719378,1777072687758,1777072719518,1777072719518
14671,1777072718098,2026-04-24T23:18:38.098000+00:00,sol-usdc,86.166,86.1585,-0.00243093,-0.00082068,86.225,86.26,-0.10897287271,spot,-0.07654393,3220401.3,277489098.416,184107630.246,0.543757292882,-31761.21769,-141947.5008,25591.64602,-2364393.09358,9.71648057138,176185.57516,1006.7747152,0.116065158981,21.7748491788,194257.49535,124786.20975,0,B,86.154,75118.53414,4.70898080352,-0.522293215412,0,1777072717382,1777072714322,1777072717366,1777072717382
