table,row_count,first_ts_utc,last_ts_utc
market_snapshots,14676,2026-04-24T19:30:44.312000+00:00,2026-04-24T23:18:41.691000+00:00
trades,90079,2026-04-24T19:12:29.681000+00:00,2026-04-24T23:18:42.825000+00:00
liquidations,0,,
alerts,297,2026-04-24T19:30:43.807000+00:00,2026-04-24T23:18:39.860000+00:00
