symbol,metric,sample_count,missing_count,missing_pct,min,p05,p25,median,mean,p75,p95,max,latest,latest_ts_utc
btc-usdc,funding_pct,2445,0,0,0.00045786,0.000512252,0.00081032,0.00101732,0.000968333652352,0.00120071,0.00125,0.00125,0.00103591,2026-04-24T23:18:39.277000+00:00
btc-usdc,funding_delta_1h_pct,1761,684,27.9754601227,-0.00039028,-0.00034002,-7.829e-05,-1.03e-05,6.37210789324e-05,0.00024159,0.00062936,0.00076962,-4.377e-05,2026-04-24T23:18:39.277000+00:00
btc-usdc,basis_pct,2445,0,0,-0.156411923352,-0.106272389663,-0.0960008247051,-0.0885350359633,-0.0884888621515,-0.0808041630305,-0.0691138570054,-0.0304008382869,-0.0742860464966,2026-04-24T23:18:39.277000+00:00
btc-usdc,premium_pct,2445,0,0,-0.10822929,-0.05412483,-0.04766567,-0.04257295,-0.0424547590429,-0.03748417,-0.029603772,-0.00103131,-0.04652185,2026-04-24T23:18:39.277000+00:00
btc-usdc,oi,2445,0,0,27284.19708,27365.052576,27482.69052,27545.92054,27539.9750891,27629.8193,27695.15556,27708.28912,27374.4906,2026-04-24T23:18:39.277000+00:00
btc-usdc,oi_notional,2445,0,0,2109007332.85,2115390109.58,2130596543.62,2137416143,2134976743.82,2142520426.18,2147670014.93,2148848118.86,2117307349.95,2026-04-24T23:18:39.277000+00:00
btc-usdc,day_ntl_vlm,2445,0,0,1914342943.03,1921569590.27,1956572491.16,2005247970.12,1999735789.66,2033301965.19,2116991069.34,2134756323.52,1934455152.43,2026-04-24T23:18:39.277000+00:00
btc-usdc,prev_day_change_pct,2445,0,0,-1.3183444047,-1.17049842723,-0.675234153779,-0.411041605117,-0.51401013425,-0.250907125762,-0.079884553935,0.00644230273669,-0.919758147161,2026-04-24T23:18:39.277000+00:00
btc-usdc,cvd_1m,2445,0,0,-9042885.57768,-1055115.28408,-90267.0814,4843.48766,44332.5676811,155716.04892,1212885.16955,8567185.70927,14437.28649,2026-04-24T23:18:39.277000+00:00
btc-usdc,cvd_5m,2445,0,0,-11452816.4903,-5572641.08285,-579336.31475,106597.43193,227096.945777,1170395.38957,7092295.36643,17590374.5085,-56958.08202,2026-04-24T23:18:39.277000+00:00
btc-usdc,cvd_15m,2445,0,0,-18465759.6494,-12473819.6602,-1076920.9696,841557.65692,691374.405681,2491574.0344,14303513.9578,17665770.4293,208749.95426,2026-04-24T23:18:39.277000+00:00
btc-usdc,cvd_1h,2445,0,0,-19104044.3376,-10325790.9145,-1865385.66449,1731991.4023,2207261.92811,5963736.47573,19006148.0658,20465550.1207,-2218183.16727,2026-04-24T23:18:39.277000+00:00
btc-usdc,taker_buy_pct_5m,2445,0,0,5.52973603892,11.0582835534,29.2330596783,55.2470416258,53.0577846692,79.3607314878,92.2857073926,98.4819614653,42.5168663878,2026-04-24T23:18:39.277000+00:00
btc-usdc,taker_notional_5m,2445,0,0,43133.49962,477041.089596,1152899.67761,1960566.70567,3346584.30987,4203040.3661,11193453.277,21167674.7044,380576.4067,2026-04-24T23:18:39.277000+00:00
btc-usdc,avg_trade_notional_5m,2445,0,0,339.908487383,712.634663253,1545.34019662,2266.6585006,2849.85345092,3527.31538452,7364.07424609,10307.9274528,1136.04897522,2026-04-24T23:18:39.277000+00:00
btc-usdc,book_spread_bps,2445,0,0,0.128641354336,0.128744037542,0.12889837008,0.128953222219,0.133001654765,0.129021436912,0.129365269306,1.67567881104,0.129288332374,2026-04-24T23:18:39.277000+00:00
btc-usdc,book_imbalance_pct,2445,0,0,-99.9344087534,-91.905495494,-68.4122903959,-29.7590311182,-14.7245960848,37.7126485114,93.0729510834,99.9805659523,-5.43561508883,2026-04-24T23:18:39.277000+00:00
btc-usdc,bid_depth10,2445,0,0,1702.43466,185538.065732,586981.29853,1097364.43238,1583901.40902,1947908.20803,3841505.55605,20445853.8493,1391923.34548,2026-04-24T23:18:39.277000+00:00
btc-usdc,ask_depth10,2445,0,0,871.8967,128785.256908,916121.15429,1973709.02937,2265791.37169,3068342.52565,5164663.17023,19652270.2104,1551940.45015,2026-04-24T23:18:39.277000+00:00
btc-usdc,impact_excess_bps,2445,0,0,0,0,0,0,0.125095264691,1.66210022479e-06,0.812554090009,2.06279934764,0,2026-04-24T23:18:39.277000+00:00
btc-usdc,wall_notional,2445,0,0,232915.91535,459144.10662,655650.97568,883766.3087,1178531.65243,1347095.7,2890261.36721,11490125.0847,632636.5824,2026-04-24T23:18:39.277000+00:00
btc-usdc,wall_ratio,2445,0,0,2.28682777168,3.20806086945,4.183479084,5.3546442306,5.91277488551,7.18496851412,10.4895166741,16.9908639206,4.29800171692,2026-04-24T23:18:39.277000+00:00
btc-usdc,wall_dist_bps,2445,0,0,-1.48349770058,-0.0647199760864,-0.0644741168658,0.0644508465619,0.138176627577,0.0646441661872,1.09909331358,2.13105332154,0.0646441661872,2026-04-24T23:18:39.277000+00:00
btc-usdc,liq_notional_5m,2445,0,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:18:39.277000+00:00
doge-usdc,mark,2444,0,0,0.097834,0.097952,0.098179,0.0983075,0.0983919292144,0.098647,0.0989417,0.09944,0.0981,2026-04-24T23:18:41.691000+00:00
doge-usdc,mid,2444,0,0,0.097846,0.097954,0.09818175,0.0983085,0.0983940711948,0.098648,0.09894285,0.099427,0.098102,2026-04-24T23:18:41.691000+00:00
doge-usdc,funding_pct,2444,0,0,0.00076714,0.00125,0.00125,0.00125,0.00124942790507,0.00125,0.00125,0.00125,0.00125,2026-04-24T23:18:41.691000+00:00
doge-usdc,funding_delta_1h_pct,1762,682,27.9050736498,-0.00048286,0,0,0,-7.47332576617e-07,0,0,8.14e-06,0,2026-04-24T23:18:41.691000+00:00
doge-usdc,basis_pct,2444,0,0,-0.17727802259,-0.0479187721983,-0.0397999795898,-0.0314928633108,-0.0334475386201,-0.0264752303854,-0.0202173363659,0,-0.0407581006725,2026-04-24T23:18:41.691000+00:00
doge-usdc,premium_pct,2444,0,0,-0.10182781,-0.046871103,-0.035589,-0.02646715,-0.0263161945908,-0.01818917,-0.005051729,0.0759763,-0.03566334,2026-04-24T23:18:41.691000+00:00
doge-usdc,oi,2444,0,0,324466210,325116224,326327426,326687086,326921391.034,327738590,329207804,329228772,324466606,2026-04-24T23:18:41.691000+00:00
doge-usdc,oi_notional,2444,0,0,31822431.5377,31845125.2497,32047311.1978,32113306.6246,32166756.1125,32393311.9067,32508408.6815,32578188.7376,31830174.0486,2026-04-24T23:18:41.691000+00:00
doge-usdc,day_ntl_vlm,2444,0,0,8859634.68523,8894035.37126,10459850.1434,10598168.2893,10406111.5837,10889039.9323,11024746.2047,11089007.0008,8906388.90043,2026-04-24T23:18:41.691000+00:00
doge-usdc,prev_day_change_pct,2444,0,0,0.378597445237,0.567740942215,0.968828980623,1.76214230718,1.61213957267,2.12403712393,2.34310035099,2.83669607123,0.98930398707,2026-04-24T23:18:41.691000+00:00
doge-usdc,cvd_1m,2444,0,0,-134944.255764,-14094.136346,-731.070986,-5.686037,-740.986964539,161.3614175,4347.150673,127242.755427,-3.92402,2026-04-24T23:18:41.691000+00:00
doge-usdc,cvd_5m,2444,0,0,-149544.220213,-64523.4502009,-10703.01689,-1439.425919,-3860.16628276,3525.718104,44437.139692,140357.136781,-177.610056,2026-04-24T23:18:41.691000+00:00
doge-usdc,cvd_15m,2444,0,0,-178515.140487,-147113.049384,-46494.9988102,-8011.023089,-12786.675689,6050.082087,123087.923757,159117.657898,43884.686962,2026-04-24T23:18:41.691000+00:00
doge-usdc,cvd_1h,2444,0,0,-330887.605822,-306820.373331,-195170.639774,-35692.608008,-50182.6641222,41614.592769,201826.4014,242353.974973,-32791.332561,2026-04-24T23:18:41.691000+00:00
doge-usdc,taker_buy_pct_5m,2444,0,0,0,1.76527485538,7.20541353819,31.1408554675,39.1135138704,65.3059927104,96.3602916217,99.8998932602,24.303002475,2026-04-24T23:18:41.691000+00:00
doge-usdc,taker_notional_5m,2444,0,0,132.425953,1099.2030247,4201.804813,14459.634742,25364.5938565,29464.7133947,111439.662483,172347.609515,345.58523,2026-04-24T23:18:41.691000+00:00
doge-usdc,avg_trade_notional_5m,2444,0,0,22.0709921667,69.0462718571,248.370188766,427.052052167,636.204530158,768.783321879,2333.30665324,3768.95269183,38.3983588889,2026-04-24T23:18:41.691000+00:00
doge-usdc,book_spread_bps,2444,0,0,0.10059299571,0.101085149075,0.101535727884,0.10176045589,0.234680605378,0.102046543429,1.01649370287,9.07852927826,0.101934201473,2026-04-24T23:18:41.691000+00:00
doge-usdc,book_imbalance_pct,2444,0,0,-97.8062838819,-58.8761021525,-27.8344499973,-1.12455180469,-2.05927223171,22.95407595,54.5423524909,94.8083465932,-18.5207025962,2026-04-24T23:18:41.691000+00:00
doge-usdc,bid_depth10,2444,0,0,3847.03052,23332.2141408,34200.6989765,50286.149077,57029.9090214,67113.5133555,130947.616895,285902.65751,26367.375209,2026-04-24T23:18:41.691000+00:00
doge-usdc,ask_depth10,2444,0,0,4912.320396,26668.0588198,36878.842006,46940.961922,60091.7341238,72015.685894,142677.171622,346884.815623,38354.280596,2026-04-24T23:18:41.691000+00:00
doge-usdc,impact_excess_bps,2444,0,0,0,0.101254082211,0.506611790631,0.714320076613,0.82580469218,1.02189199216,1.73316467205,9.15779128771,0.611608845559,2026-04-24T23:18:41.691000+00:00
doge-usdc,wall_notional,2444,0,0,7130.991395,7997.40223195,20250.53218,30886.4494595,35556.5453383,35882.702295,82770.7773729,241239.052528,7964.907944,2026-04-24T23:18:41.691000+00:00
doge-usdc,wall_ratio,2444,0,0,1.94989391636,2.59149606927,4.21954648231,5.40545418818,5.63498119531,6.72527962143,9.43567196835,15.166002252,2.46128064708,2026-04-24T23:18:41.691000+00:00
doge-usdc,wall_dist_bps,2444,0,0,-7.39432900237,-2.58353564614,-1.97230682385,-0.456264510351,-0.14385334951,1.87015087569,2.59205612405,7.50724272578,1.6819143243,2026-04-24T23:18:41.691000+00:00
doge-usdc,liq_notional_5m,2444,0,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:18:41.691000+00:00
eth-usdc,mark,2448,0,0,2306.5,2310.3,2313.3,2315.9,2316.75089869,2320.125,2324.7,2327.1,2312.8,2026-04-24T23:18:41.691000+00:00
eth-usdc,mid,2448,0,0,2306.05,2310.35,2313.325,2315.85,2316.72675654,2320.05,2324.55,2327.15,2312.85,2026-04-24T23:18:41.691000+00:00
eth-usdc,funding_pct,2448,0,0,-0.00047619,-0.000218813,-0.0001542175,-9.7035e-05,1.5114252451e-05,0.0002169875,0.00045842,0.00125,0.00049829,2026-04-24T23:18:41.691000+00:00
eth-usdc,funding_delta_1h_pct,1765,683,27.9003267974,-0.00099735,-0.000383792,-0.00013193,-4.945e-05,1.6680509915e-06,6.036e-05,0.000607784,0.00099123,0.00068673,2026-04-24T23:18:41.691000+00:00
eth-usdc,basis_pct,2448,0,0,-0.239115917365,-0.122932257856,-0.110335875424,-0.105747027214,-0.101997963856,-0.0926584351499,-0.0753558410783,0.0409456285154,-0.0971901254833,2026-04-24T23:18:41.691000+00:00
eth-usdc,premium_pct,2448,0,0,-0.15932481,-0.06048561,-0.0526832875,-0.05037353,-0.0495223278227,-0.0466946325,-0.038703681,-0.00688379,-0.03889705,2026-04-24T23:18:41.691000+00:00
eth-usdc,oi,2448,0,0,418330.8798,418445.91437,421642.6929,423086.4136,422418.918633,423449.4885,425297.38798,426699.1922,418330.8798,2026-04-24T23:18:41.691000+00:00
eth-usdc,oi_notional,2448,0,0,967079172.912,967551793.142,975535759.142,980032345.621,978646361.236,982624519.641,988323829.327,991574999.951,967515658.801,2026-04-24T23:18:41.691000+00:00
eth-usdc,day_ntl_vlm,2448,0,0,633873514.512,634565937.875,699510891.188,721430252.416,707810341.121,729845320.709,773394325.785,780169753.831,634659404.208,2026-04-24T23:18:41.691000+00:00
eth-usdc,prev_day_change_pct,2448,0,0,-1.21209525441,-1.02792530409,-0.636593953968,-0.249849228914,-0.265060021205,-0.00322677795466,0.459073191858,0.550021654396,-0.571772494734,2026-04-24T23:18:41.691000+00:00
eth-usdc,cvd_1m,2448,0,0,-2400251.26809,-592081.232406,-54352.09632,-886.74044,-7187.14198366,20529.1253025,275442.311197,4724726.87982,53052.2633,2026-04-24T23:18:41.691000+00:00
eth-usdc,cvd_5m,2448,0,0,-3633465.99311,-2385514.93784,-494845.70078,-74652.4866,-33457.2867225,90626.9373925,3389074.98191,4760836.2192,-12869.15968,2026-04-24T23:18:41.691000+00:00
eth-usdc,cvd_15m,2448,0,0,-4099073.50977,-3896744.42049,-1724303.66909,-259028.59475,-97551.6331624,1839713.06149,3919752.48347,4533505.67639,-149780.09885,2026-04-24T23:18:41.691000+00:00
eth-usdc,cvd_1h,2448,0,0,-9610675.19236,-6854436.43806,-4367934.16291,-1444159.87123,-914508.320998,2436139.38208,7197419.75784,7661108.96567,5395974.1615,2026-04-24T23:18:41.691000+00:00
eth-usdc,taker_buy_pct_5m,2448,0,0,0.452739410647,1.9190685879,18.6751628222,38.0612292809,43.7735459674,71.2640788358,94.5218563838,99.2094892939,47.7439398365,2026-04-24T23:18:41.691000+00:00
eth-usdc,taker_notional_5m,2448,0,0,18756.34778,52845.7029055,225306.397812,633926.790775,1251079.05345,1678382.49801,4340556.91955,7119637.63796,285213.13146,2026-04-24T23:18:41.691000+00:00
eth-usdc,avg_trade_notional_5m,2448,0,0,178.64236637,393.000140839,1100.15111373,2277.14062627,3429.57692185,5535.10948501,9824.82267442,13284.7344187,1994.4974228,2026-04-24T23:18:41.691000+00:00
eth-usdc,book_spread_bps,2448,0,0,0.429710160496,0.430190789615,0.431043772495,0.431825542482,0.439225773853,0.432310918012,0.432884504434,2.59100919808,0.432366993103,2026-04-24T23:18:41.691000+00:00
