symbol,snapshot_count,first_ts_utc,last_ts_utc,latest_mark,latest_funding_pct,latest_funding_delta_1h_pct,latest_basis_pct,latest_basis_source,latest_premium_pct,latest_oi,latest_oi_notional,latest_day_ntl_vlm,latest_cvd_5m,latest_taker_buy_pct_5m,latest_taker_notional_5m,latest_avg_trade_notional_5m,latest_book_spread_bps,latest_book_imbalance_pct,latest_impact_excess_bps,latest_wall_side,latest_wall_notional,latest_wall_ratio,avg_abs_cvd_5m,p95_abs_cvd_5m,avg_taker_notional_5m,p95_taker_notional_5m,avg_impact_excess_bps,p95_impact_excess_bps,funding_abs_ge_threshold_count,funding_abs_ge_threshold_pct,impact_ge_threshold_count,impact_ge_threshold_pct,book_imbalance_abs_ge_threshold_count,book_imbalance_abs_ge_threshold_pct,taker_high_count,taker_high_pct,taker_low_count,taker_low_pct,basis_capitulation_count,basis_capitulation_pct,cvd_capitulation_scaled_count,cvd_capitulation_scaled_pct
bnb-usdc,2442,2026-04-24T19:30:44.312000+00:00,2026-04-24T23:18:41.691000+00:00,636.46,0.00125,0,0.170765296085,spot,0,45763.686,29126755.5916,3292411.23192,-351.97491,24.8875570862,700.79783,100.113975714,0.471346085863,-5.77848016307,0.974115244118,A,8000.02653,2.51759908231,2311.30702311,8310.78872,3557.02377832,13335.519929,0.768496615823,1.75692415322,0,0,0,0,862,35.2989352989,774,31.6953316953,1212,49.6314496314,0,0,108,4.4226044226
btc-usdc,2445,2026-04-24T19:30:44.312000+00:00,2026-04-24T23:18:39.277000+00:00,77346,0.00103591,-4.377e-05,-0.0742860464966,spot,-0.04652185,27374.4906,2117307349.95,1934455152.43,-56958.08202,42.5168663878,380576.4067,1136.04897522,0.129288332374,-5.43561508883,0,A,632636.5824,4.29800171692,1951082.16164,8489273.93631,3346584.30987,11193453.277,0.125095264691,0.812554090009,0,0,0,0,1984,81.145194274,1062,43.4355828221,630,25.7668711656,0,0,753,30.7975460123
doge-usdc,2444,2026-04-24T19:30:44.312000+00:00,2026-04-24T23:18:41.691000+00:00,0.0981,0.00125,0,-0.0407581006725,oracle,-0.03566334,324466606,31830174.0486,8906388.90043,-177.610056,24.303002475,345.58523,38.3983588889,0.101934201473,-18.5207025962,0.611608845559,A,7964.907944,2.46128064708,19153.1400957,95755.230603,25364.5938565,111439.662483,0.82580469218,1.73316467205,0,0,2,0.0818330605565,1240,50.736497545,726,29.705400982,1202,49.1816693944,0,0,619,25.3273322422
eth-usdc,2448,2026-04-24T19:30:44.312000+00:00,2026-04-24T23:18:41.691000+00:00,2312.8,0.00049829,0.00068673,-0.0971901254833,spot,-0.03889705,418330.8798,967515658.801,634659404.208,-12869.15968,47.7439398365,285213.13146,1994.4974228,0.432366993103,-22.8935046998,5.55111512313e-17,A,864359.64125,1.92693309373,823027.28832,3425751.81099,1251079.05345,4340556.91955,0.246740229251,1.2116386568,0,0,0,0,823,33.6192810458,796,32.5163398693,999,40.8088235294,0,0,717,29.2892156863
icp-usdc,2446,2026-04-24T19:30:44.312000+00:00,2026-04-24T23:18:40.472000+00:00,2.453,0.0006517,0.0020701,-0.122149837134,oracle,-0.07247557,771578,1892680.834,210184.78237,18.93335,58.8273333162,107.24275,21.44855,5.7070645306,7.17918085054,3.13888549183,B,3241.40862,1.90490255555,441.013341713,1102.08631,563.222948467,1222.22434,6.44405014191,9.29425639981,0,0,364,14.8814390842,89,3.63859362224,1017,41.5780866721,635,25.9607522486,0,0,0,0
sol-usdc,2451,2026-04-24T19:30:44.312000+00:00,2026-04-24T23:18:38.098000+00:00,86.166,-0.00243093,-0.00082068,-0.10897287271,spot,-0.07654393,3220401.3,277489098.416,184107630.246,-141947.5008,9.71648057138,176185.57516,1006.7747152,0.116065158981,21.7748491788,0,B,75118.53414,4.70898080352,214707.736359,634408.52385,420326.312465,1448005.32413,0.135552405323,0.901984378903,0,0,1,0.0407996736026,1871,76.3361893105,451,18.4006527948,1164,47.4908200734,0,0,1057,43.125254998
