table,row_count,first_ts_utc,last_ts_utc
market_snapshots,13824,2026-04-24T19:42:57.753000+00:00,2026-04-24T23:18:41.691000+00:00
trades,86707,2026-04-24T19:42:56.030000+00:00,2026-04-24T23:18:42.825000+00:00
liquidations,0,,
alerts,280,2026-04-24T19:44:09.019000+00:00,2026-04-24T23:18:39.860000+00:00
