symbol,metric,sample_count,missing_count,missing_pct,min,p05,p25,median,mean,p75,p95,max,latest,latest_ts_utc
bnb-usdc,mark,2300,0,0,635.38,635.98,636.7,637.27,637.220665217,637.76,638.44,638.59,636.46,2026-04-24T23:18:41.691000+00:00
bnb-usdc,mid,2300,0,0,635.455,635.98,636.72125,637.295,637.237076087,637.78,638.45,638.595,636.475,2026-04-24T23:18:41.691000+00:00
bnb-usdc,funding_pct,2300,0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,2026-04-24T23:18:41.691000+00:00
bnb-usdc,funding_delta_1h_pct,1760,540,23.4782608696,0,0,0,0,0,0,0,0,0,2026-04-24T23:18:41.691000+00:00
bnb-usdc,basis_pct,2300,0,0,-0.278281533363,-0.202906498492,-0.0957955147547,-0.00431742530895,0.0765558371149,0.118660783446,0.183225098077,5.60021170322,0.170765296085,2026-04-24T23:18:41.691000+00:00
bnb-usdc,premium_pct,2300,0,0,-0.04144752,-0.0196223065,-0.0092658,0,-0.00452559519565,0,0.00361022,0.03436103,0,2026-04-24T23:18:41.691000+00:00
bnb-usdc,oi,2300,0,0,45754.2,45758.418,45762.708,45766.586,45768.346367,45772.19,45785.15,45790.596,45763.686,2026-04-24T23:18:41.691000+00:00
bnb-usdc,oi_notional,2300,0,0,29085275.6022,29102145.8894,29140996.2334,29169422.8873,29164536.0691,29188405.1788,29214560.1794,29221044.4015,29126755.5916,2026-04-24T23:18:41.691000+00:00
bnb-usdc,day_ntl_vlm,2300,0,0,3289976.87054,3291972.01242,3355825.62809,3400255.98336,3385232.31629,3415416.19129,3431840.69462,3442836.82146,3292411.23192,2026-04-24T23:18:41.691000+00:00
bnb-usdc,prev_day_change_pct,2300,0,0,-0.599177109244,-0.456892101187,-0.214572108758,-0.042317759353,-0.0514270172832,0.0768506900878,0.448324681454,0.593925263092,-0.217919573567,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_1m,2300,0,0,-11317.96745,-1533.063186,-184.48887,-14.970235,-166.113513465,26.07559,627.3312635,9406.30741,-91.64862,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_5m,2300,0,0,-15416.7193,-8202.51176,-1506.75384,-357.48239,-751.4738745,327.36419,5889.2509085,8667.22602,-351.97491,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_15m,2300,0,0,-18323.16996,-13524.376247,-6784.8133275,-1245.579215,-2048.04646755,3155.42344,7181.92876,11643.99626,871.20172,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_1h,2300,0,0,-38267.41893,-32631.446975,-16776.50107,-2010.35764,-3732.44540541,6035.74305,24193.60086,29427.7689,-18807.12362,2026-04-24T23:18:41.691000+00:00
bnb-usdc,taker_buy_pct_5m,2300,0,0,0,1.44752460939,10.9715132789,28.2832715223,40.9382859863,72.5169992374,98.7054192225,100,24.8875570862,2026-04-24T23:18:41.691000+00:00
bnb-usdc,taker_notional_5m,2300,0,0,88.61901,234.094397,859.676925,1657.01622,3592.83806145,5173.70875,13462.4218705,17440.47412,700.79783,2026-04-24T23:18:41.691000+00:00
bnb-usdc,avg_trade_notional_5m,2300,0,0,12.6598585714,24.71696,74.133077458,132.061833438,216.036067126,321.964536656,629.798532727,1010.06849615,100.113975714,2026-04-24T23:18:41.691000+00:00
bnb-usdc,book_spread_bps,2300,0,0,0.156593772266,0.156955071611,0.627606036029,0.78652834255,0.862010196128,1.0986510135,1.4149297095,5.80241976586,0.471346085863,2026-04-24T23:18:41.691000+00:00
bnb-usdc,book_imbalance_pct,2300,0,0,-69.8723088038,-44.0885932488,-28.3161089214,-13.3277901162,-12.4609687637,2.33740516743,24.1545776658,58.9347200399,-5.77848016307,2026-04-24T23:18:41.691000+00:00
bnb-usdc,bid_depth10,2300,0,0,11098.48056,21327.623792,26135.158805,30319.572615,32631.5426054,36825.47953,52397.2449475,86873.12051,29940.21819,2026-04-24T23:18:41.691000+00:00
bnb-usdc,ask_depth10,2300,0,0,16525.49457,25706.0035475,33054.57438,38836.465305,42753.2654037,50839.644045,69503.963696,100116.19757,33612.6055,2026-04-24T23:18:41.691000+00:00
bnb-usdc,impact_excess_bps,2300,0,0,0,0.156620001583,0.407553867617,0.643662289164,0.746805096286,0.988526039306,1.66021136961,3.62060453124,0.974115244118,2026-04-24T23:18:41.691000+00:00
bnb-usdc,wall_notional,2300,0,0,3997.53996,6935.25371,8753.1672,14993.83882,15845.6568097,23439.28175,30970.518133,40808.57184,8000.02653,2026-04-24T23:18:41.691000+00:00
bnb-usdc,wall_ratio,2300,0,0,1.77572037428,2.34378148066,2.84340052644,3.7075715479,4.04558941451,5.07277162581,6.81459554031,9.70780761228,2.51759908231,2026-04-24T23:18:41.691000+00:00
bnb-usdc,wall_dist_bps,2300,0,0,-4.71038954922,-3.13488715072,-1.33169886257,1.80492666504,0.807218066332,2.42988608471,3.05578212747,5.08929759863,1.80682666248,2026-04-24T23:18:41.691000+00:00
bnb-usdc,liq_notional_5m,2300,0,0,0,0,0,0,0,0,0,0,0,2026-04-24T23:18:41.691000+00:00
btc-usdc,mark,2303,0,0,77248,77300,77502,77546,77519.7438124,77577,77674,77732,77346,2026-04-24T23:18:39.277000+00:00
btc-usdc,mid,2303,0,0,77227.5,77301.6,77501.5,77546.5,77520.6906209,77578.5,77674.4,77735.5,77346.5,2026-04-24T23:18:39.277000+00:00
