symbol,snapshot_count,first_ts_utc,last_ts_utc,latest_mark,latest_funding_pct,latest_funding_delta_1h_pct,latest_basis_pct,latest_basis_source,latest_premium_pct,latest_oi,latest_oi_notional,latest_day_ntl_vlm,latest_cvd_5m,latest_taker_buy_pct_5m,latest_taker_notional_5m,latest_avg_trade_notional_5m,latest_book_spread_bps,latest_book_imbalance_pct,latest_impact_excess_bps,latest_wall_side,latest_wall_notional,latest_wall_ratio,avg_abs_cvd_5m,p95_abs_cvd_5m,avg_taker_notional_5m,p95_taker_notional_5m,avg_impact_excess_bps,p95_impact_excess_bps,funding_abs_ge_threshold_count,funding_abs_ge_threshold_pct,impact_ge_threshold_count,impact_ge_threshold_pct,book_imbalance_abs_ge_threshold_count,book_imbalance_abs_ge_threshold_pct,taker_high_count,taker_high_pct,taker_low_count,taker_low_pct,basis_capitulation_count,basis_capitulation_pct,cvd_capitulation_scaled_count,cvd_capitulation_scaled_pct
bnb-usdc,2316,2026-04-24T19:41:33.626000+00:00,2026-04-24T23:18:41.691000+00:00,636.46,0.00125,0,0.170765296085,spot,0,45763.686,29126755.5916,3292411.23192,-351.97491,24.8875570862,700.79783,100.113975714,0.471346085863,-5.77848016307,0.974115244118,A,8000.02653,2.51759908231,2369.00125898,8361.17492,3618.73612306,13462.01842,0.746710760496,1.66075302282,0,0,0,0,820,35.4058721934,715,30.872193437,1192,51.4680483592,0,0,108,4.66321243523
btc-usdc,2319,2026-04-24T19:41:33.626000+00:00,2026-04-24T23:18:39.277000+00:00,77346,0.00103591,-4.377e-05,-0.0742860464966,spot,-0.04652185,27374.4906,2117307349.95,1934455152.43,-56958.08202,42.5168663878,380576.4067,1136.04897522,0.129288332374,-5.43561508883,0,A,632636.5824,4.29800171692,2032516.80661,8545137.64526,3465539.18397,11257195.2713,0.116226173377,0.786188852874,0,0,0,0,1875,80.8538163001,1019,43.9413540319,592,25.5282449332,0,0,694,29.9266925399
doge-usdc,2318,2026-04-24T19:41:33.626000+00:00,2026-04-24T23:18:41.691000+00:00,0.0981,0.00125,0,-0.0407581006725,oracle,-0.03566334,324466606,31830174.0486,8906388.90043,-177.610056,24.303002475,345.58523,38.3983588889,0.101934201473,-18.5207025962,0.611608845559,A,7964.907944,2.46128064708,20011.3861827,97128.940855,26316.5248968,113260.37203,0.820720544726,1.73254645095,0,0,2,0.0862812769629,1182,50.9922346851,659,28.4296807593,1170,50.4745470233,0,0,619,26.70405522
eth-usdc,2322,2026-04-24T19:41:33.626000+00:00,2026-04-24T23:18:41.691000+00:00,2312.8,0.00049829,0.00068673,-0.0971901254833,spot,-0.03889705,418330.8798,967515658.801,634659404.208,-12869.15968,47.7439398365,285213.13146,1994.4974228,0.432366993103,-22.8935046998,5.55111512313e-17,A,864359.64125,1.92693309373,826105.162682,3442908.94818,1252741.18578,4366957.43222,0.236871992216,1.20722614272,0,0,0,0,763,32.8596037898,769,33.1180017227,928,39.9655469423,0,0,632,27.21791559
icp-usdc,2320,2026-04-24T19:41:33.626000+00:00,2026-04-24T23:18:40.472000+00:00,2.453,0.0006517,0.0020701,-0.122149837134,oracle,-0.07247557,771578,1892680.834,210184.78237,18.93335,58.8273333162,107.24275,21.44855,5.7070645306,7.17918085054,3.13888549183,B,3241.40862,1.90490255555,453.477199871,1189.51151,577.595971681,1488.70098,6.43184949924,9.34302769094,0,0,346,14.9137931034,84,3.62068965517,924,39.8275862069,630,27.1551724138,0,0,0,0
sol-usdc,2325,2026-04-24T19:41:33.626000+00:00,2026-04-24T23:18:38.098000+00:00,86.166,-0.00243093,-0.00082068,-0.10897287271,spot,-0.07654393,3220401.3,277489098.416,184107630.246,-141947.5008,9.71648057138,176185.57516,1006.7747152,0.116065158981,21.7748491788,0,B,75118.53414,4.70898080352,215588.282804,604371.069692,399682.245725,1163834.17627,0.136394394095,0.911648264753,0,0,1,0.0430107526882,1768,76.0430107527,425,18.2795698925,1124,48.3440860215,0,0,1004,43.1827956989
