symbol,metric,sample_count,missing_count,missing_pct,min,p05,p25,median,mean,p75,p95,max,latest,latest_ts_utc
bnb-usdc,mark,2316,0,0,635.38,635.98,636.7,637.28,637.22951209,637.76,638.46,638.59,636.46,2026-04-24T23:18:41.691000+00:00
bnb-usdc,mid,2316,0,0,635.455,635.98,636.735,637.3,637.245874352,637.785,638.485,638.595,636.475,2026-04-24T23:18:41.691000+00:00
bnb-usdc,funding_pct,2316,0,0,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,0.00125,2026-04-24T23:18:41.691000+00:00
bnb-usdc,funding_delta_1h_pct,1760,556,24.0069084629,0,0,0,0,0,0,0,0,0,2026-04-24T23:18:41.691000+00:00
bnb-usdc,basis_pct,2316,0,0,-0.278281533363,-0.202906498492,-0.0948751939481,-0.00470189956742,0.0763477420517,0.118660783446,0.183197704132,5.60021170322,0.170765296085,2026-04-24T23:18:41.691000+00:00
bnb-usdc,premium_pct,2316,0,0,-0.04144752,-0.0198839075,-0.00940955,0,-0.00460304223661,0,0.00361022,0.03436103,0,2026-04-24T23:18:41.691000+00:00
bnb-usdc,oi,2316,0,0,45754.2,45758.4,45762.634,45766.586,45768.2764352,45772.128,45785.15,45790.596,45763.686,2026-04-24T23:18:41.691000+00:00
bnb-usdc,oi_notional,2316,0,0,29085275.6022,29102145.8894,29140996.2334,29169592.5706,29164896.3246,29188911.3795,29215235.4001,29221044.4015,29126755.5916,2026-04-24T23:18:41.691000+00:00
bnb-usdc,day_ntl_vlm,2316,0,0,3289976.87054,3291972.01242,3355843.43581,3400267.13331,3385393.94087,3415412.32527,3431840.69462,3442836.82146,3292411.23192,2026-04-24T23:18:41.691000+00:00
bnb-usdc,prev_day_change_pct,2316,0,0,-0.599177109244,-0.456813879633,-0.214572108758,-0.0408067174135,-0.0469999153179,0.0784190715182,0.454616957684,0.593925263092,-0.217919573567,2026-04-24T23:18:41.691000+00:00
bnb-usdc,cvd_1m,2316,0,0,-11317.96745,-1517.593695,-184.32872,-13.365345,-155.928625946,26.07682,795.93774,9406.30741,-91.64862,2026-04-24T23:18:41.691000+00:00
